Species	Count
A ihuae	6
A kyonggiense	9
A schaalii	63
A suis	6
A urogenitalis	9
B acidifaciens	5
B breve	2290
B caccae	5
B choerinum	32
B dorei	30490
B finegoldii	8
B longum	34
B pseudocatenulatum	22
B rodentium	5
B saguini	10
B stercoris	258
B uniformis	20
B vulgatus	49
B wexlerae	5
C saccharogumia	25
C youngae	13
D propionicifaciens	23
E cloacae	1278
E coli	8
E dispar	28
E lenta	27
E ramosum	1335
E tasmaniensis	6
F prausnitzii	5
H parainfluenzae	24
K pneumoniae	16
M namucuonensis	8
P gergoviae	17
R mucilaginosa	15
R ornithinolytica	141
S australis	10
S cynarae	11
S enterica	3726
S mitis	64
S peroris	102
S salivarius	14
S warneri	59
T guamensis	10
V dispar	143
