Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Ilyobacter
Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Malonomonas
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Spirillospora
Bacteria	Cyanobacteria	Cyanophyceae	Pleurocapsales	Pleurocapsaceae	Chamaecalyx
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Filifactor
Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Pseudanabaenaceae	Anabaenella
Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Cryptobacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Inflabilis
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Murimyces
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Liquidomonas
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridialesincertaesedis	Carboxydocella
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Nitratireductor
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyribacillus
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Vallorillus
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Ramibacterium
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Raoultella
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfonauticus
Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Ehrenbergia
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thioploca
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Zymobacterium
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Metchnikovillus
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Therminosporus
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Metallacter
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hiblerillus
Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaete
